,postcode,jaar,aantal_loontrekkenden,aantal_werkzoekende,aantal_zelfstandigen,inactieven,belastingplichtigen,gemiddeld_netto_belastbaar_inkomen_per_persoon,opbrengst_aanvullende_personenbelasting_per_belast,aantal_inwoners,dichtheid,bibliotheek_bezocht,boek_gelezen,museum_bezocht,park_bezocht,restaurant_of_cafe_bezocht,televisie_gekeken,voorstelling_bezocht,sport_beoefend,regelmatig_de_fiets_naar_werk_school,al_aso,al_bso,al_kso,al_tso,al_deel_bso,al_basis_binnen_a,al_basis_buiten_a,al_buso,al_so_geen_vertraging,al_so_vertraging,al_so_meer_vertraging,al_a_stroom,al_b_stroom,al_so_binnen_a,al_so_buiten_a,kotdichtheid,plaatsen_buurtparkings,plaatsen_fietsenstallingen,opp_sportterreinen,opp_gebruiksgroen_en_pleinen,opp_speelterreinen,plaatsen_velo_stations
0,2000,2006,0.3892485549132948,0.11321772639691714,0.12134874759152216,0.3761849710982659,0.8953684010031427,15130.0,313.0,31501,5178,,,,,,,,,,0.29454545454545455,0.263030303030303,0.07151515151515152,0.23272727272727273,0.06666666666666667,0.9499744767738643,0.050025523226135786,0.07151515151515152,0.44170616113744077,0.36492890995260663,0.1933649289099526,0.8055555555555556,0.19444444444444445,0.9135702746365105,0.0864297253634895,,,,0.0011757173281218955,0.04267985537082683,0.0008116398644047145,
1,2000,2007,0.4053327186107269,0.09678039034885508,0.12544183187336713,0.3724450591670509,0.9083006433390868,15799.0,327.0,31865,5238,,,,,,,,,,0.29579067121729236,0.2764505119453925,0.06143344709897611,0.2354948805460751,0.06143344709897611,0.9482051282051283,0.05179487179487179,0.06939704209328783,0.44770642201834865,0.3458715596330275,0.20642201834862386,0.7657894736842106,0.23421052631578948,0.9074509803921569,0.09254901960784313,,,,0.001199966065001251,0.04645521049767906,0.0009358280382796996,
2,2000,2008,0.41816032339257114,0.07695827930745176,0.13107314468766684,0.37380825261231027,0.9103801396431342,16616.0,350.0,32225,5297,,,,,,,,,,0.29161747343565525,0.29634002361275086,0.047225501770956316,0.2231404958677686,0.06965761511216056,0.9469345698093766,0.05306543019062339,0.07201889020070838,0.4678638941398866,0.33553875236294894,0.19659735349716445,0.7766233766233767,0.22337662337662337,0.9048,0.0952,,,,0.0012242148018806066,0.05023056562453129,0.0010600162121546849,
3,2000,2009,0.40547699884341304,0.07734208857217476,0.12886617169719808,0.3883147408872141,0.9098096901719224,16854.0,345.0,32631,5364,,,,,,,,,,0.31492361927144535,0.282021151586369,0.05992949471210341,0.20211515863689777,0.06580493537015276,0.9477088948787062,0.0522911051212938,0.07520564042303172,0.49032882011605416,0.30174081237911027,0.2079303675048356,0.792507204610951,0.207492795389049,0.9151857835218093,0.08481421647819062,,,,0.001248463538759962,0.05400609395664695,0.00118420438602967,
4,2000,2010,0.4056993853604023,0.1001676289811883,0.13112311417396164,0.36300987148444774,0.9444873497883909,17208.0,345.0,32371,5321,27.6,70.3,49.0,65.4,93.7,91.2,56.3,53.3,34.5,0.3245109321058688,0.26927502876869963,0.05753739930955121,0.19677790563866512,0.07710011507479862,0.9486248053969901,0.05137519460300986,0.07479861910241657,0.4816211121583412,0.32045240339302544,0.19792648444863337,0.7762803234501348,0.22371967654986524,0.8986068111455109,0.10139318885448917,,,,0.0012727122756393176,0.057781449083499185,0.001308392559904655,
5,2000,2011,0.3954846243674582,0.08924590395980042,0.13114406029937364,0.38412541137336775,0.9262799252246277,17618.0,360.0,33166,5452,24.5,68.6,51.0,74.4,94.6,91.5,53.7,56.4,38.0,0.30660377358490565,0.2971698113207547,0.06132075471698113,0.1945754716981132,0.07429245283018868,0.9446680080482898,0.05533199195171026,0.0660377358490566,0.4761441090555015,0.3359298928919182,0.18792599805258034,0.8005865102639296,0.19941348973607037,0.8921568627450981,0.10784313725490197,,,,0.001296961012518673,0.061556804210351417,0.0014325807337796403,
6,2000,2012,0.40325808376926586,0.08447143910402696,0.13362356493346908,0.3786469121932381,0.8952976604123234,18207.0,371.0,34536,5677,21.8,69.5,50.1,66.4,92.8,93.3,52.3,56.1,34.2,0.3108108108108108,0.273955773955774,0.05405405405405406,0.22113022113022113,0.07125307125307126,0.9451158106747231,0.05488418932527694,0.0687960687960688,0.4760914760914761,0.3503118503118503,0.1735966735966736,0.7674418604651163,0.23255813953488372,0.9058721934369602,0.09412780656303972,,,,0.0013212097493980287,0.06533233254246708,0.0015567689076546253,
7,2000,2013,0.39372633856138456,0.0939021092482423,0.1346335857220119,0.3777379664683613,0.8902352708020724,18184.0,373.0,35321,5806,24.7,68.6,54.8,73.1,95.6,91.6,55.8,58.6,37.8,0.3341677096370463,0.2528160200250313,0.06382978723404255,0.2065081351689612,0.07259073842302878,0.9429778247096093,0.057022175290390706,0.07008760951188986,0.49222797927461137,0.32746113989637304,0.18031088082901556,0.7756410256410257,0.22435897435897437,0.9013722126929674,0.09862778730703259,,0.00736105999263894,0.0014155884601228731,0.0013418211757454809,0.07210136744233916,0.001829740402810799,0.03371931712012684
8,2000,2014,0.39172879542643174,0.10213633780214637,0.1333957406974023,0.3727391260740196,0.9108838155515371,19045.0,384.0,35392,5817,27.4,64.7,55.4,75.6,93.6,92.2,50.4,61.0,44.5,0.3427471116816431,0.2605905006418485,0.07188703465982028,0.18613607188703465,0.07573812580231065,0.9488396624472574,0.051160337552742616,0.06290115532734275,0.5086294416243655,0.3208121827411167,0.17055837563451776,0.855072463768116,0.14492753623188406,0.8943298969072165,0.1056701030927835,9.64,0.00734629294755877,0.001412748643761302,0.0013329877073108584,0.07257872114833562,0.0018527767028461868,0.04060239602169982
9,2000,2015,0.39657188679875705,0.10307728290287013,0.13602191854054596,0.36432891175782683,0.9084485234086879,19600.0,403.0,35521,5839,24.6,67.0,52.2,69.5,95.5,92.8,49.6,60.9,38.1,0.34933333333333333,0.25066666666666665,0.07466666666666667,0.168,0.08,0.9495884773662552,0.050411522633744855,0.07733333333333334,0.5294748124330118,0.3172561629153269,0.1532690246516613,0.8323699421965318,0.1676300578034682,0.877208480565371,0.12279151943462897,8.87,0.00802342276399876,0.0014076180287717125,0.0014647969127764982,0.07531207341042927,0.0018527767028461868,0.04146842712761465
